Model,Epsilon,Accuracy (%),Fooling Rate (%),Clean Confidence,Adv Confidence,Accuracy Drop (pp)
VGG19,0.0,93.56,0.0,0.953,0.953,0.0
VGG19,0.005,59.95,35.21,0.953,0.8093,33.6
VGG19,0.01,38.2,57.31,0.953,0.682,55.35
VGG19,0.02,22.78,72.84,0.953,0.629,70.77
VGG19,0.04,18.99,76.87,0.953,0.5938,74.57
ResNet50,0.0,94.82,0.0,0.9792,0.9792,0.0
ResNet50,0.005,59.03,36.48,0.9792,0.8806,35.79
ResNet50,0.01,51.09,44.42,0.9792,0.8383,43.73
ResNet50,0.02,45.34,50.17,0.9792,0.8148,49.48
ResNet50,0.04,44.76,50.75,0.9792,0.799,50.06
DenseNet121,0.0,95.86,0.0,0.9569,0.9569,0.0
DenseNet121,0.005,30.38,66.63,0.9569,0.7524,65.48
DenseNet121,0.01,22.09,74.91,0.9569,0.7132,73.76
DenseNet121,0.02,16.57,80.9,0.9569,0.6787,79.29
DenseNet121,0.04,20.02,77.91,0.9569,0.6526,75.83
